id,is_new,company,title,location,workplace,employment_type,compensation,monthly_inr,location_tier,score,url,source,published_at
adzuna:5819623328,False,Artech Infosystem Private Limited,Sales Support Administrator,India,Remote,,,,remote_india,60,https://www.adzuna.in/land/ad/5819623328?se=SpbZO0CV8RGi4ovdpLalnw&utm_medium=api&utm_source=86a70844&v=315E76DEF58F21AF23736B8E262673E4CE871089,Adzuna,2026-07-29T15:21:28Z
lever:cprime:25646fca-f794-4335-b594-52f15a1ae70d,False,cprime,Salesforce Operations & Data Quality Specialist,"Hyderabad, India",remote,Full-time,,,remote_india,55,https://jobs.lever.co/cprime/25646fca-f794-4335-b594-52f15a1ae70d,lever,1784820546689
lever:Sprinto:f191e1f6-cfd3-476f-a43f-943ed52348cf,False,Sprinto,Market Research Executive,Bengaluru,remote,Remote,,,remote_india,45,https://jobs.lever.co/Sprinto/f191e1f6-cfd3-476f-a43f-943ed52348cf,lever,1784884970858
himalayas:https://himalayas.app/companies/fortive/jobs/sales-analyst,False,Fortive,Sales Analyst,Worldwide,Remote,Full Time,,,global_work_from_anywhere,95,https://himalayas.app/companies/fortive/jobs/sales-analyst,Himalayas,1785996417
himalayas:https://himalayas.app/companies/steno/jobs/revenue-operations-coordinator,False,Steno,Revenue Operations Coordinator,Worldwide,Remote,Full Time,USD 70500-87500 per annual,,global_work_from_anywhere,95,https://himalayas.app/companies/steno/jobs/revenue-operations-coordinator,Himalayas,1786279881
himalayas:https://himalayas.app/companies/drawbridge/jobs/senior-revenue-operations-analyst,False,Drawbridge,Senior Revenue Operations Analyst,Worldwide,Remote,Full Time,,,global_work_from_anywhere,85,https://himalayas.app/companies/drawbridge/jobs/senior-revenue-operations-analyst,Himalayas,1786179914
himalayas:https://himalayas.app/companies/cielo/jobs/manager-revenue-analytics-planning-3180042143,False,Cielo,"Manager, Revenue Analytics & Planning",Worldwide,Remote,Full Time,USD 115000-140000 per annual,,global_work_from_anywhere,80,https://himalayas.app/companies/cielo/jobs/manager-revenue-analytics-planning-3180042143,Himalayas,1786197072
himalayas:https://himalayas.app/companies/disher-talent/jobs/revenue-operations-specialist,False,DISHER Talent,Revenue Operations Specialist,Worldwide,Remote,Full Time,,,global_work_from_anywhere,80,https://himalayas.app/companies/disher-talent/jobs/revenue-operations-specialist,Himalayas,1786214454
himalayas:https://himalayas.app/companies/rhapsody/jobs/sales-operations-manager,False,Rhapsody,Sales Operations Manager,Worldwide,Remote,Full Time,USD 120000-150000 per annual,,global_work_from_anywhere,80,https://himalayas.app/companies/rhapsody/jobs/sales-operations-manager,Himalayas,1785800925
himalayas:https://himalayas.app/companies/dwelly/jobs/data-quality-analyst,False,Dwelly,Data Quality Analyst,Worldwide,Remote,Full Time,,,global_work_from_anywhere,75,https://himalayas.app/companies/dwelly/jobs/data-quality-analyst,Himalayas,1785820940
himalayas:https://himalayas.app/companies/fortive/jobs/sr-ops-analyst-revenue-operations,False,Fortive,"Sr. Ops Analyst, Revenue Operations",Worldwide,Remote,Full Time,,,global_work_from_anywhere,75,https://himalayas.app/companies/fortive/jobs/sr-ops-analyst-revenue-operations,Himalayas,1786029564
himalayas:https://himalayas.app/companies/jobs-for-humanity/jobs/data-verification-specialist,False,Jobs for Humanity,Data Verification Specialist,Worldwide,Remote,Full Time,,,global_work_from_anywhere,75,https://himalayas.app/companies/jobs-for-humanity/jobs/data-verification-specialist,Himalayas,1785814015
himalayas:https://himalayas.app/companies/logistics-management-institute/jobs/logistics-operations-analyst-clearance-required,False,Logistics Management Institute,Logistics Operations Analyst - Clearance Required,Worldwide,Remote,Full Time,USD 76390-130605 per annual,,global_work_from_anywhere,70,https://himalayas.app/companies/logistics-management-institute/jobs/logistics-operations-analyst-clearance-required,Himalayas,1785026076
himalayas:https://himalayas.app/companies/marketstar/jobs/sales-operations-specialist,False,MarketStar,Sales Operations Specialist,Worldwide,Remote,Full Time,USD 50000-60000 per annual,,global_work_from_anywhere,70,https://himalayas.app/companies/marketstar/jobs/sales-operations-specialist,Himalayas,1786273701
himalayas:https://himalayas.app/companies/instacart/jobs/senior-revenue-operations-manager-eversight,False,Instacart,Senior Revenue Operations Manager - Eversight,Worldwide,Remote,Full Time,USD 142000-179500 per annual,,global_work_from_anywhere,65,https://himalayas.app/companies/instacart/jobs/senior-revenue-operations-manager-eversight,Himalayas,1786188406
himalayas:https://himalayas.app/companies/servicenow/jobs/sales-operations-mgr-armis,False,ServiceNow,Sales Operations Mgr (Armis),Worldwide,Remote,Full Time,,,global_work_from_anywhere,65,https://himalayas.app/companies/servicenow/jobs/sales-operations-mgr-armis,Himalayas,1786151647
himalayas:https://himalayas.app/companies/virtru/jobs/operations-analyst,False,Virtru,Operations Analyst,Worldwide,Remote,Full Time,USD 110000-130000 per annual,,global_work_from_anywhere,65,https://himalayas.app/companies/virtru/jobs/operations-analyst,Himalayas,1786242256
himalayas:https://himalayas.app/companies/globalization-partners/jobs/revenue-operations-specialist-9601950328,False,Globalization Partners,Revenue Operations Specialist,Worldwide,Remote,Full Time,,,global_work_from_anywhere,60,https://himalayas.app/companies/globalization-partners/jobs/revenue-operations-specialist-9601950328,Himalayas,1786190728
himalayas:https://himalayas.app/companies/guidepoint-security-llc/jobs/sales-operations-specialist-southwest-1445232019,True,GuidePoint Security LLC,Sales Operations Specialist (Southwest),Worldwide,Remote,Full Time,,,global_work_from_anywhere,60,https://himalayas.app/companies/guidepoint-security-llc/jobs/sales-operations-specialist-southwest-1445232019,Himalayas,1785748520
himalayas:https://himalayas.app/companies/newsela/jobs/data-engineer-1691600252,False,Newsela,Data Engineer,Worldwide,Remote,Full Time,USD 100000-120800 per annual,,global_work_from_anywhere,60,https://himalayas.app/companies/newsela/jobs/data-engineer-1691600252,Himalayas,1786224817
himalayas:https://himalayas.app/companies/surgo-pty-ltd/jobs/german-operations-sales-excellence-manager-9342146200,False,Surgo PTY Ltd,German Operations/Sales Excellence Manager,Worldwide,Remote,Full Time,ZAR 30000-60000 per monthly,,global_work_from_anywhere,60,https://himalayas.app/companies/surgo-pty-ltd/jobs/german-operations-sales-excellence-manager-9342146200,Himalayas,1786095099
himalayas:https://himalayas.app/companies/zealogics/jobs/ai-operations-reporting-analytics-analyst-fully-remote-opportunity,False,Zealogics,AI Operations Reporting & Analytics Analyst - Fully Remote Opportunity,Worldwide,Remote,Full Time,,,global_work_from_anywhere,60,https://himalayas.app/companies/zealogics/jobs/ai-operations-reporting-analytics-analyst-fully-remote-opportunity,Himalayas,1784421395
himalayas:https://himalayas.app/companies/abi-research/jobs/research-analyst-automotive-technologies-7638648008,False,ABI Research,Research Analyst: Automotive Technologies,Worldwide,Remote,Full Time,,,global_work_from_anywhere,55,https://himalayas.app/companies/abi-research/jobs/research-analyst-automotive-technologies-7638648008,Himalayas,1785818701
himalayas:https://himalayas.app/companies/akamai-technologies/jobs/strategy-operations-analyst-ii-opex-hc-mgmt,False,Akamai Technologies,Strategy & Operations Analyst II - OpEx & HC MGMT,Worldwide,Remote,Full Time,,,global_work_from_anywhere,55,https://himalayas.app/companies/akamai-technologies/jobs/strategy-operations-analyst-ii-opex-hc-mgmt,Himalayas,1786106959
himalayas:https://himalayas.app/companies/mediaradar/jobs/data-governance-analyst-2744226796,True,MediaRadar,Data Governance Analyst,Worldwide,Remote,Full Time,,,global_work_from_anywhere,55,https://himalayas.app/companies/mediaradar/jobs/data-governance-analyst-2744226796,Himalayas,1786337699
himalayas:https://himalayas.app/companies/samsara/jobs/sr-business-operations-analyst-post-sales,True,Samsara,Sr. Business Operations Analyst - Post Sales,Worldwide,Remote,Full Time,USD 91630-138600 per annual,,global_work_from_anywhere,55,https://himalayas.app/companies/samsara/jobs/sr-business-operations-analyst-post-sales,Himalayas,1786082574
himalayas:https://himalayas.app/companies/abacus-insights/jobs/associate-data-qa-engineer,True,Abacus Insights,Associate Data QA Engineer,Worldwide,Remote,Full Time,USD 30-30 per hourly,,global_work_from_anywhere,50,https://himalayas.app/companies/abacus-insights/jobs/associate-data-qa-engineer,Himalayas,1786335361
himalayas:https://himalayas.app/companies/antenna-group/jobs/commercial-operations-analyst,False,Antenna Group,Commercial Operations Analyst,Worldwide,Remote,Full Time,,,global_work_from_anywhere,50,https://himalayas.app/companies/antenna-group/jobs/commercial-operations-analyst,Himalayas,1785788497
himalayas:https://himalayas.app/companies/icf/jobs/data-operator-curator,False,ICF,Data Operator/Curator,Worldwide,Remote,Full Time,USD 55665-94631 per annual,,global_work_from_anywhere,50,https://himalayas.app/companies/icf/jobs/data-operator-curator,Himalayas,1786196374
himalayas:https://himalayas.app/companies/matrix-global/jobs/data-governance-analyst,True,Matrix Global,Data Governance Analyst,Worldwide,Remote,Full Time,,,global_work_from_anywhere,50,https://himalayas.app/companies/matrix-global/jobs/data-governance-analyst,Himalayas,1786365660
himalayas:https://himalayas.app/companies/precision-medicine-group/jobs/content-analyst-data-steward,False,Precision Medicine Group,Content Analyst (Data Steward),Worldwide,Remote,Full Time,,,global_work_from_anywhere,50,https://himalayas.app/companies/precision-medicine-group/jobs/content-analyst-data-steward,Himalayas,1786149500
himalayas:https://himalayas.app/companies/vizx-global/jobs/sales-operator,False,VizX Global,Sales Operator,Worldwide,Remote,Full Time,,,global_work_from_anywhere,50,https://himalayas.app/companies/vizx-global/jobs/sales-operator,Himalayas,1785759879
himalayas:https://himalayas.app/companies/ahead/jobs/data-governance-lead,False,AHEAD,Data Governance Lead,Worldwide,Remote,Full Time,USD 150000-175000 per annual,,global_work_from_anywhere,45,https://himalayas.app/companies/ahead/jobs/data-governance-lead,Himalayas,1786097672
himalayas:https://himalayas.app/companies/blend360/jobs/data-quality-engineer-2245973535,False,Blend360,Data Quality Engineer,Worldwide,Remote,Full Time,,,global_work_from_anywhere,45,https://himalayas.app/companies/blend360/jobs/data-quality-engineer-2245973535,Himalayas,1785763227
remotive:1680495,False,Coalition Technologies,Remote Office Assistant,Worldwide,Remote,full_time,"$31,2k- $52k",,global_work_from_anywhere,45,https://remotive.com/remote-jobs/marketing/remote-office-assistant-1680495,Remotive,2026-07-11T20:18:11
himalayas:https://himalayas.app/companies/empower-com/jobs/analyst-technical-operations-2,True,Empower,Analyst Technical Operations-2,Worldwide,Remote,Full Time,,,global_work_from_anywhere,45,https://himalayas.app/companies/empower-com/jobs/analyst-technical-operations-2,Himalayas,1786292979
himalayas:https://himalayas.app/companies/exl/jobs/data-steward,False,EXL,Data Steward,Worldwide,Remote,Full Time,USD 90000-115000 per annual,,global_work_from_anywhere,45,https://himalayas.app/companies/exl/jobs/data-steward,Himalayas,1785975907
himalayas:https://himalayas.app/companies/logistics-management-institute/jobs/data-governance-specialist-clearance-required,False,Logistics Management Institute,Data Governance Specialist - Clearance Required,Worldwide,Remote,Other,USD 85986-145154 per annual,,global_work_from_anywhere,45,https://himalayas.app/companies/logistics-management-institute/jobs/data-governance-specialist-clearance-required,Himalayas,1785817065
himalayas:https://himalayas.app/companies/savanta/jobs/explorer-qual-research-manager-shopper-research-ontario,True,Savanta,Explorer | Qual Research Manager | Shopper Research | Ontario,Worldwide,Remote,Full Time,CAD 80000-85000 per annual,,global_work_from_anywhere,45,https://himalayas.app/companies/savanta/jobs/explorer-qual-research-manager-shopper-research-ontario,Himalayas,1785153567
adzuna:5746731633,False,Nextpower,Sales Operations Analyst,India,,,,,hyderabad,45,https://www.adzuna.in/details/5746731633?utm_medium=api&utm_source=86a70844,Adzuna,2026-06-01T02:22:57Z
adzuna:5815814437,False,CSC,Associate Data Quality Specialist,India,,,,,bengaluru,57,https://www.adzuna.in/details/5815814437?utm_medium=api&utm_source=86a70844,Adzuna,2026-07-26T03:23:55Z
adzuna:5658374641,False,Talent Pro,"Revenue Operations Lead, saas","Bangalore, Karnataka",,,INR 2000000-2700000 per year,,bengaluru,57,https://www.adzuna.in/details/5658374641?utm_medium=api&utm_source=86a70844,Adzuna,2026-03-08T11:32:36Z
adzuna:5778430833,False,Saxon Global INC,Data Quality Developer,"Bangalore, Karnataka",,,,,bengaluru,52,https://www.adzuna.in/details/5778430833?utm_medium=api&utm_source=86a70844,Adzuna,2026-06-27T07:12:42Z
adzuna:5684977517,False,Frequencycx,Revenue Operations Specialist,"Bangalore, Karnataka",,,INR 800000-1200000 per year,,bengaluru,47,https://www.adzuna.in/details/5684977517?utm_medium=api&utm_source=86a70844,Adzuna,2026-04-01T11:39:35Z
adzuna:3914011894,False,Quicken Inc,Senior Data Quality Engineer,"Bangalore, Karnataka",,,,,bengaluru,47,https://www.adzuna.in/details/3914011894?utm_medium=api&utm_source=86a70844,Adzuna,2023-02-09T06:29:25Z
adzuna:5796411183,False,Sprinklr,Data Quality Analyst,"Bangalore, Karnataka",,,,,bengaluru,47,https://www.adzuna.in/details/5796411183?utm_medium=api&utm_source=86a70844,Adzuna,2026-07-11T07:19:28Z
adzuna:5785771371,False,MSCI,Geospatial Physical Risk - AI Data Operations Analyst,"Mumbai, Maharashtra",,,,,other_india,58,https://www.adzuna.in/land/ad/5785771371?se=enANOkCV8RGI3JXz7KkMuA&utm_medium=api&utm_source=86a70844&v=1F85CC85D5C3FFE81DA9A3C55D962E4EB9D0A2EB,Adzuna,2026-07-03T00:54:15Z
adzuna:5835624635,True,NielsenIQ,Data Operations Analyst,"Chennai, Tamil Nadu",,,,,other_india,53,https://www.adzuna.in/details/5835624635?utm_medium=api&utm_source=86a70844,Adzuna,2026-08-10T19:24:12Z
adzuna:5710605357,False,FNZ,Sales Operations Analyst,India,,,,,other_india,48,https://www.adzuna.in/details/5710605357?utm_medium=api&utm_source=86a70844,Adzuna,2026-04-26T02:17:25Z
